"x"
"content1" "x"
"content4267" " david bowie"
"content4268" " garbage trying push onto ok band completely gobbles balls platter"
"content4269" " always nice hear fellow brissyite yeah ripper song clip"
"content4270" " yeah agree kicks hammers head style"
"content4271" " julia holter chelsea wolfe boards canada bonobo jon hopkins savages grouper retox glasser tim hecker darkside etc etc etcnntheres lot people gotta search"
"content4272" " awesomeness"
"content4273" " cracking good track min min wall sound beautiful"
"content4274" " song sucks"
"content4275" " band never stops surprising "
"content4276" " close eyes omg"
"content4277" " purchased album brisbane australia today great stuff cheers"
"content4278" " anyone else think reflektor looks mj smooth criminalnnsweet track"
"content4279" " forgot knighted stiff knob s sacrilege refer purely knob respect civility"
"content4280" " truly insightful honest knob lot respect "
"content4281" " teenage girl returns home small town discover immediate family joined rock n roll sex cult things black white context decides join live happily ever "
"content4282" " david bowie style love "
"content4283" " ok tell story behind songplease"
"content4284" " music back watch years ll amazing whoever said album wasnt good never good concert"
"content4285" " dam montreal french hipsters"
"content4286" " eh respect knob guess happy halloween bro"
"content4287" " wtf foggernnwtf bell buttons"
"content4288" " horrible"
"content4289" " david bowie playing fogger wearing bell buttons mrt baby together called reflector"
"content4290" " cest une question tout fan peut se poser ce nest pas une affirmation à son sujet les premières parties démontrent clairement je suis avec lui à son commentaire est un appui à une réponse faite à une mauvaise critique"
"content4291" " jai réalisé après cela pouvait être mal interprèté toutes mes excuses la dernière question nétait pas pour le rabaisser loin de là je visais ceux qui détestent af et viennent ici croyant influencer leurs fans les premières parties approuvent à son commentaire lautre logiquement sadresse à ceux qui sont contreet cest une question pas une affirmation je vais corriger le tir immédiatement merci "
"content4292" " m tremblay je crois vous avez mal compris le commentaire de tom waits il dit quaf devient légendaire tout un compliment non"
"content4293" " well assume attempts af fans stop liking af successful af fans attempts carry suppose s entertain "
"content4294" " hahaa yes"
"content4295" " right "
"content4296" " song year grammys take note"
"content4297" " house jealous lovers"
"content4298" " love love love"
"content4299" " s whether s bad song think band weird especially singing mention sounds overall completely dated sorry"
"content4300" " add boss bruce springsteen foo fighters tears fears list goes nwhen established legends start covering songs greater sign respect nso world stupid hater comment ever diminished musical talent eyes fans"
"content4301" " sick track guys amazing talent creativity best never mind lady gaga miley cirus bs s pushed masses"
"content4302" " re knob calling everyone else knob"
"content4303" " anyone dislikes song go reflekt mirror lame"
"content4304" " wish bowie cameo"
"content4305" " nice disco"
"content4306" " everyones knob including "
"content4307" " thisalbum lot find stuck listening brandon flowers flamingoimaging joined arcade fireomg"
"content4308" " t stop listening new album love "
"content4309" " david bowie vocals"
"content4310" " re knob alright"
"content4311" " sounds good good video "
"content4312" " forgot clockwork qotsa"
"content4313" " reflektor terror flaming lips sleeper ty segall amok atoms peace day bowie year whoever says good original music isnt around anymore obviously isnt listening"
"content4314" " neil young david byrne mick jagger fans re legends making"
"content4315" " song actually grows people dont "
"content4316" " thank needed "
"content4317" " point sucks hopes people realize crap complete pussification music"
"content4318" " well m sorry compulsive fixation things hate mean mileys face everywhere pretty well avoid right express opinion t blame others wondering masochistically subject despise"
"content4319" " video good love emotion eyes n faces"
"content4320" " came song stayed video"
"content4321" " m much fun walk away now"
"content4322" " hard avoid everywhere turn advertisement upcoming album originally led hype comments section expressing opinions right guitar attack described word strumtastic lots repetitive strumming three chords followed slightly louder strumming three chords grand finaleloudest strumming three chords sweeeet"
"content4323" " hey s painfull watch cure nstop watching try ll feel much better "
"content4324" " know dont something tend avoid instead whining incessantly think re stupid pretentious dont understand re famous annoy fuck s fine re allowed hate anything else add going hang around continue repeating "
"content4325" " heard david bowie"
"content4326" " idea happening video love song"
"content4327" " awasome"
"content4328" " according anyone liking band idiot course re lone genius lonely top"
"content4329" " know re sooooo kewl original especially vintage corduroys suspenders"
"content4330" " piss trendy hipsters"
"content4331" " understand lot idiots world follow herd band prime example "
"content4332" " lol re right"
"content4333" " reflektor um purposely misspelling reflector makes look re trying waaaayyy hard different gaawwwwd"
"content4334" " nice dude"
"content4335" " generation without fear wtf talking "
"content4336" " keep returning video leaving comments hate arcade fire unusual instruments maybe actually love song s quite electronic sounding glockenspiel hurdy gurdy"
"content4337" " according last sentence know now problem dont wrong judging since vast majority enjoy bands music inluding respected critics obvious musical creativity quality elude remember idiot puts t understand dont think stupid"
"content4338" " arcade fire product generation without hardship without fear real challenges whine continue wildly successful putting repetitive unimaginative music real problem though hailed critically commercially exactly opposite"
"content4339" " forgot sitar"
"content4340" " goosebumps always"
"content4341" " idea ’m going start band members ’ll record instruments dobro hurdy gurdy glockenspiel accordion giant asian cymbals people perceive experimental ’ll intentionally lo fi sub par sounding recording band ’ll sing key whiniest contrived whiny mcwhine voice possibly muster maybe ’ll cool arcade fire"
"content4342" " deserves worst band ever award"
"content4343" " unreal song great"
"content4344" " never herd music actually love song "
"content4345" " cute comercial halloween"
"content4346" " m m feeling album still love af though think s awesome experiment style album album try new things instead popping carbon copy single another m interested ll go knows maybe album grow now m feeling "
"content4347" " bunch weirdos u burn n hell ur tme comes wile il paradise love ones aint fool ur message u wont last long miserable people frm da klowg€€ ckant stop forget money fame iam happiness rains "
"content4348" " lead singers singing style voice remind bernard sumner new order"
"content4349" " ah sarah neufeld longer official member band explains "
"content4350" " seeing ll bust brain figuring implied question ll let obviously asked question point coming conclusion isnt seven members previously thoughtnthe number band members crucial factor deciding whether song right"
"content4351" " play bowie song predicament change"
"content4352" " neither spot seen lately end good resemblance observation especially present responding"
"content4353" " insult think super cool setting tone kiss feet"
"content4354" " yes"
"content4355" " found connector"
"content4356" " idea jimmy carter arcade fire let alone back vocals"
"content4357" " nice someone asking important questions"
"content4358" " type m ridiculous brand puppet cash immediately wont easier dollar arcade fire google ll find "
"content4359" " yeah speaking french song guarantees s good talking heads proud reasons obvious although little help interpretive message nby kudos great insightful abilities"
"content4360" " yeah true people havent heard anything else dishonest dont admit isnt best work good point"
"content4361" " yes ticks hipster boxes point listening song already know s fantastic anyone listens song cool"
"content4362" " people honest admit far afs best work s bad great either"
"content4363" " song nice groove interesting interpretive message mention spoken french talking heads proud"
"content4364" " ses très bon arcade fire jadore 👏👏"
"content4365" " hope someone actually runs channel ask find shirts posters arcade fire someone please respond arcade fire ever"
"content4366" " thought members band"
"content4367" " keep sleeping"
"content4368" " love french chicks voice reflector coats"
"content4369" " good song video lame"
"content4370" " god dam meta matic think calm seek professionnal help anger control come bash af comments read pretty positive dont move record love "
"content4371" " fell asleep listening indie trash go f arcade fire"
"content4372" " total "
"content4373" " magnifique chanson arcade fire toujours fidèles à eux mêmes tat mieux ne changez pas"
"content4374" " tell us feel though"
"content4375" " wow hate guys"
"content4376" " lol plenty good things happening quebec canada fantastic place live nnlet guess re american home idiotic capitalist system pinheads learn thing two canada quebec matter"
"content4377" " seeing band big critical praise absolutely infuriates seriously makes question kind world live equivalent th grade music class jam session classified brilliant rock roll kill now listening french canadian assholes bang away glockenspiels tom toms hum prefect harmony almost makes long days celine dion shittiest us import quebec responsible "
"content4378" " bassoon player fired due creative differences jesus christ everybody band addition playing shitty orchestral instrument plays role backup singer humming unison yes humming whatever wont complain much anything takes away sad faced lead singer weeping feelings"
"content4379" " reflectoralbum definitely needs couple listens onto ll love bit neon bible"
"content4380" " now rest assclowns stupid hipster bitch bangs keyboard repetitively guy fucking tom tom bangs marching drum hearing impaired retarded child standup bass ever fucking standup bass rock band unless s jazz band violins violas cellos tubas french horns fucking xylophone glockenspiel group seriously fucking glockenspiel"
"content4381" " lets examine members douchebag collective s standard guitar drums bass none played well fact live performance saw lead singer literally wore guitarbackwards use present appearance rock roll band"
"content4382" " arcade fire fucking awful band intoxicated wet dream demented hipster pbrs first approximately band members arcade fire generally cool rock bands members group arcade fire got random ensemble musical instruments ever put together defined band bunch dickheads suspenders sideways part haircuts singing bullshit"
"content4383" " arcade fire hail montreal quebec canada canadianre french canadian feel free read think fact already establishes guys definitely gobble nuts platter couldnt come gayer combination french canadian put glee bravo network arcade fire critically acclaimed douchebag music magazines across globe tell tale sign music probably blows"
"content4384" " t prove currently popular song decent safe going songs said "
"content4385" " im feelin "
"content4386" " internetespicially youtube typical stuff band hype side nobody nowhere start shit song video big fan grab "
"content4387" " ability know sucks"
"content4388" " article arcade fire m thinking okay let give guys listen wow wish hadnt ve gone entire life without hearing totally lame"
"content4389" " point fact win butler originally texas though"
"content4390" " sooo good"
"content4391" " risk cussed fan completely agree comment song absolutely horrible vocals mediocre best year old come music creative standard synthesizer dont poster notes feels absolutely nothing music accurate perception s bland plain piece cardboard"
"content4392" " japanese accent band montréal"
"content4393" " groovegasm"
"content4394" " music videos dont color good"
"content4395" " know right lol think director fun ur brain"
"content4396" " japanese heck montreal quebec canada accent im dont hear japanese "
"content4397" " song makes float"
"content4398" " ok go back gay ass lil whane rap thing music talent never hear"
"content4399" " english french mix songs please good combination"
"content4400" " love easily people offended youtube someone says dislike song music video isnt whole point comments section enter discussion something express opinion whether good bad song actually grown hear stand original opinion dont two drummers"
"content4401" " im thinking hate two door cinema club"
"content4402" " worst band ive ever heard"
"content4403" " got blues"
"content4404" " maybe didnt cuz im gettn stoned go bak sleep still dont "
"content4405" " dont "
"content4406" " s unreal much group evolved props"
"content4407" " s love child lcd soundsystem arcade fire words s awesome"
"content4408" " regine drivers seat owen pallets actual beautiful face otherwise video brilliant"
"content4409" " просто великолепно amaizing"
"content4410" " big thumb "
"content4411" " video crazy good song describes modern life reliance modern forms communication barrier reflektor actually living life masks represent seen people communicating via social networks right ladies gentlemen art"
"content4412" " é arcade vir pro lolla brasil"
"content4413" " win kick ass movie"
"content4414" " s ideadont go arcade fire videoever "
"content4415" " hear beauty think "
"content4416" " sounds golden shit "
"content4417" " indeed glad know somebody else noticed"
"content4418" " bad ask thumbs stated fact thumbs "
"content4419" " drug wonderful drug "
"content4420" " ll repeat question since appear deaf stupidnnwhich lcd soundsystem track sound nni dont think heard lcd came either re years old nnill repeat re idiot"
"content4421" " youtube logo reflektor now"
"content4422" " clip director"
"content4423" " anton best vídeo"
"content4424" " mtl band ftw"
"content4425" " love stephanie schiffer bowie acknowledgement especially jus alil im lovin thoo"
"content4426" " dude totally hotline miami"
"content4427" " wins papier mâché head doesnt look compare group members ones"
"content4428" " gave thumbs asking thumbs "
"content4429" " struggling art student makes music video calls reflektor"
"content4430" " david bowie "
"content4431" " back mu "
"content4432" " youtube logo look lot reflektor logo"
"content4433" " found enter reflektor"
"content4434" " sounds french disco"
"content4435" " right side youtube "
"content4436" " thinking thing"
"content4437" " nice call dezaza"
"content4438" " "
"content4439" " dont hate music video hate completely retarded"
"content4440" " love "
"content4441" " meh"
"content4442" " produced james murphy"
"content4443" " video stupid music well ok worst vids seen long "
"content4444" " duran duran cure baby arcade fire"
"content4445" " said someone doesnt opinion different s awfully condescending"
"content4446" " hospital orderlies verbally rip apart war veterans speak english emergency deny service speak french"
"content4447" " finally video corbijn s actually good"
"content4448" " hahaha"
"content4449" " isnt enough french singing japanese accent thumbs "
"content4450" " lil french touch ve added music brings nice music style specifically song song good job"
"content4451" " actually james murphy lcd soundsystem produced album re pretty much right "
"content4452" " colour fedora"
"content4453" " oui arcade fire cest très bon"
"content4454" " u know "
"content4455" " mirrors coolest thing ve seen "
"content4456" " video perfect compliment awesome tune s mesmerising reminds acid magic mushrooms different level ve somehow captured little fragment mind caught thoughts prism light reflection reflection reflection"
"content4457" " bands gotta shit"
"content4458" " s reflection reflection reflection ve got things hide"
"content4459" " amazing "
"content4460" " song kicks lame arse songs finish"
"content4461" " da fuck rather try feel groove interaction rhythm section vocal melodies lyrics wont help tune godlly everything else instruments moody production "
"content4462" " viva montreal bitchezzz"
"content4463" " mesut ozil "
"content4464" " new album today"
"content4465" " cool music bunch talented greasy montreal hipsters"
"content4466" " disco ball woodsdamn cool video"
"content4467" " pretty good enjoyed "
"content4468" " re oblivious fact re getting trolled hard"
"content4469" " ok easy guys s bowie pretty damn good early s post punk emo pil"
"content4470" " go listen bowie "
"content4471" " go listen bowie "
"content4472" " listen words actually listen dont dont "
"content4473" " didnt alienate dpd ear drums"
"content4474" " think best thing ve done since funeral enjoyed video well think may fact always fan frank sidebottom"
"content4475" " david bowie"
"content4476" " someone please explain video"
"content4477" " people different different things john right stfu"
"content4478" " fuck "
"content4479" " fuck "
"content4480" " ahhh shame always thought line thought bring resurrector checked booklet s thought praying dont much thought "
"content4481" " love song best heard radio tried hardest sing along"
"content4482" " ireland loves arcade fire please please play electric picnic "
"content4483" " fartkade ire boring shit heap upon embers boring shit floats around great big flush cheers blind brand x"
"content4484" " hey friends arcade fire two door cinema club arctic monkeys ll love us please check channel"
"content4485" " love re standing around lcd soundsystem disco ball makes sense"
"content4486" " track lcd soundsystem sounds remotely nnyou idiot"
"content4487" " somebody lcd soundsystem produce songs"
"content4488" " james murphy produced album"
"content4489" " understand nfor incredible drive band "
"content4490" " idea happen song nad maybe reviewers basing opinion around "
"content4491" " minutes pure aural awesomeness "
"content4492" " encanta encanta"
"content4493" " m love female vocals best song ever heard whole universe might calm tomorrow s opinion moment "
"content4494" " finally good song boring band"
"content4495" " "
"content4496" " brotha s boils "
"content4497" " hipsters describe long left arcade fire biggest bands world ve won grammys filled madison square garden headlined biggest festivals world people know know anything music anyone tried act superior knowing arcade fire laughed none takes away deserves notoriety hope music reaches people possible ’s good"
"content4498" " dont think anything hipster m hipster love arcade fire music subjective speaks might speak vice versa try answer orginal question based personal preferences think makes arcade fire big deal uncanny ability arrange song unusual lyrics instrumentation voices finally ve seen live frenzy create stage astonding"
"content4499" " wow arcade fire truly incredible band think new album song capture frenzy life performances music subjective understand people dont however think best band last decade put solid albums continue interesting creative powerful"
"content4500" " thank much pointing fell trapdidnt silly known better sorry eventual misspelling first language french"
"content4501" " saw snl listened t interview q song reflektor video original good well d home run arcade fire good good us since hear price internet connection well done"
"content4502" " replied wouldnt appear hipster self aggrandizing attitude perceive good answer yet nothing dispel appearance thereby fulfilling criticism tried deflect"
"content4503" " gonna hit album ireland thinks"
"content4504" " wonder never bring girls home "
"content4505" " appreciate without called hipster nni love good music s love metal dont long hair dont wear black love classical music dont wear jacket tie love hip hop dont golden rings dont drugs love disco m gay nnplease stop useless frustrations sht grow music rules "
"content4506" " mental"
"content4507" " reminds blondies heart glass watchvuvdrfhanou"
"content4508" " let add little nuance someone appreciate without perceive « superior» « hipster» guys seem carry frustration somethings fully ok enjoy video band dont shit matter respecting opinions know s free world shit problem"
"content4509" " pitchfork namazing album indeed masterpiece"
"content4510" " white people dance clubs"
"content4511" " full occult symbology"
"content4512" " "
"content4513" " songs grows cool image imagination lets miss good music "
"content4514" " "
"content4515" " yawn"
"content4516" " close enough bump kid ten years line mumbling ve named funeral"
"content4517" " repetitive listen rest album making judgments oh god"
"content4518" " great production album poor indeed miss first albums"
"content4519" " pitchfork deservedly"
"content4520" " know david bowie singing backing vocals "
"content4521" " trust best opening album think heard decade"
"content4522" " love song kept hearing radio didnt know good thing absolute radio playlist search knew heard gets powerful orchestral towards end sort reminds older depeche mode tracks"
"content4523" " song gets boring tbqh"
"content4524" " reflektions people earth nfor masks distorted reality perceived people constantly judging dont know looking someones face may give true image person truly nthe mirror supposed reflect bono u kind homagenspiritual leaders connectors light light another reflection deceptionndolls lost childhood"
"content4525" " everything song video everything arcade fire fucking exciting incredible dont know explain amazes much creative magnificent love "
"content4526" " warped reflectionsof dick"
"content4527" " love band best beatles"
"content4528" " s reflector masks represent warped reflections"
"content4529" " finally rock group worthy called rock "
"content4530" " goosebumps xx"
"content4531" " muy buen grupo encanta canción"
"content4532" " love happens s probably reasons beatles radiohead two favorite bands"
"content4533" " soo good"
"content4534" " course suspected person people meet wanted shallow damned now know fans"
"content4535" " offense still kind original arcade fire "
"content4536" " comment smug intelligent"
"content4537" " hey things heh ya good day"
"content4538" " oh tell things enjoy life "
"content4539" " admit looking antagonize stir pot bit d"
"content4540" " last someone intelligent answer although fully agree "
"content4541" " real music according kind rock music btw love pearl jam miles davis dears mozart rachmaninov lumineers florence machine zappa beatles guess «» music worth listening"
"content4542" " day"
"content4543" " well know hipster memes internet person takes sense cultural superiority part select know something think great mainstream"
"content4544" " think s hipster kinda thing people prefer never understand feeling kind intellectual superiority "
"content4545" " prefer rock real music"
"content4546" " mouhahahahah funny please define « hipster»"
"content4547" " james murphy"
"content4548" " says hipster"
"content4549" " cousin introduced m starting "
"content4550" " anton corbijn awesome job"
"content4551" " love fire"
"content4552" " song got hooked mesmerising insanely stylish s musical heaven"
"content4553" " god damn good song "
"content4554" " lcd soundsystem coming thou sound"
"content4555" " superbe franchement"
"content4556" " dont bother beyond "
"content4557" " brain tell whole album track superior mind lower level young age brain"
"content4558" " sounds homage wonderful discotheque arcade fires youth brought date"
"content4559" " s got real fusion talking heads new order love vibe"
"content4560" " "
"content4561" " yeah pure classic graceful however think simply impossible alienate least extraordinary challenging reflektor"
"content4562" " good song"
"content4563" " classic moment band evolves beautifully alienates small percentage fans"
"content4564" " absolutely crap first three albums new seems flop"
"content4565" " hell poppy crap"
"content4566" " reflektor good enough "
"content4567" " good music eye beholder"
"content4568" " t stop hear car cloudy day"
"content4569" " humble opinion think exploring idea go changes lives since change starts becomes «reflection» thus accumulating refection reflection baby dolls end may metaphore thse changes leave behind us well die perception hold truth lol"
"content4570" " people moderm music sucks fuck "
"content4571" " wow seriously rest album win album year think bit ugly singing heroes danny mcnamara embrace keep going embrace decide release long awaited new album"
"content4572" " story explaine"
"content4573" " nothing s cool ve changed sound bit gone donna summer s pretty insipid stuff ears anyway re good band overrated"
"content4574" " listened song library studying suddenly opened eyes everybody place big heads saw dancing table"
"content4575" " hmmm cause us kids know miley loves fire "
"content4576" " proud friends thank power arcade fire reflektion "
"content4577" " 渺小n渺小n渺小n渺小"
"content4578" " now band comes song epic "
"content4579" " dont sound languages"
"content4580" " witness wit"
"content4581" " witness"
"content4582" " arcade fire blows mind end genius thanks reminding passion exists lots love xxxx"
"content4583" " song makes molecules dance "
"content4584" " little views well creepy f second sounds terrible third english fourth black white fifth barely hear said lastly fucking sucks"
"content4585" " million views miley cyrus gets tens millions"
"content4586" " как это гавно оказываться в новый действие с другой канал "
"content4587" " eh dont think best effort dont much song"
"content4588" " scaaaaaaaaaaaaaaaaaaaaaaaaaaary "
"content4589" " beautiful"
"content4590" " outstanding video"
"content4591" " dont"
"content4592" " genre "
"content4593" " people dont enjoy single probably wont enjoy album however dont understand couldnt enjoy shit song"
"content4594" " go back cents nicky cyrus pls"
"content4595" " punch instead"
"content4596" " good taste"
"content4597" " hope win album year "
"content4598" " replay replay replay replay replay replay replay replay replay "
"content4599" " possibly re listening apple ear buds logitechs bo spend ear headphones maybe chance working s good"
"content4600" " pity "
"content4601" " full album right watchvivvxkjyy"
"content4602" " chic party music dooooode"
"content4603" " chic thxx arcade fire "
"content4604" " please explain song video big deal god witness hear feel absolutely nothing astounded rave reviews said demonstrated missing"
"content4605" " great bandsong dance"
"content4606" " hnic brought kesler sucksgo leafs go"
"content4607" " "
"content4608" " best best best best"
"content4609" " dont negative votes something s arcade fire didnt ask opinion haha"
"content4610" " hnic brought fuck leafs"
"content4611" " great job explosion freshnessnlove "
"content4612" " ok well seeing takenll name mine schwinns reflector bicycle "
"content4613" " relate giant heads thing fact s giant spouting head song kicks ass "
"content4614" " entre le royaume des vivants et des morts"
"content4615" " guess someone going daughter named reflektor"
"content4616" " amazing cinematography great music thing strange guy looked door closing going "
"content4617" " best song year"
"content4618" " whenever hear dressed go club crank "
"content4619" " listened song think better"
"content4620" " f great band"
"content4621" " ok computer kid rainbows hail thief beautiful dark twisted fantasy funeral good kid maad city yeezus late registration since left merriweather post pavilion modern vampires city countless others got "
"content4622" " ágætis byrjun sigur rós "
"content4623" " didnt know thank much answering "
"content4624" " fucking genius"
"content4625" " back best "
"content4626" " hope s sarcasm agree lol"
"content4627" " vayan al lollapalooza chile se lo ruego"
"content4628" " ahhhhh sorry dude patrick red faced slinks bad "
"content4629" " oh know already listened first ten tracks love album immensely joke"
"content4630" " go ahead nobody stopping "
"content4631" " albums arcade fires funeral recall"
"content4632" " isnt pop music mong"
"content4633" " oh forgot hate disco music love reflektor album"
"content4634" " nominatd goddam awards possible sir still alone room wondering happened truly hope win possible heard whole album yesterday trust truly inspired piece work bad dont brain spot btw little kid spent life involved music business play music "
"content4635" " dude dont pitchfork media validate fuck em mean nicest possible spirit"
"content4636" " s reflektor"
"content4637" " windowsill best song face"
"content4638" " first album outstanding others good ve never quite hit heights imho"
"content4639" " par arcade fire songs thats ment "
"content4640" " hey nnsomeone told arcade fire month ago although enjoyed music wasnt blown away song grabed first listened maybe tell names songs think special nnthanks advance"
"content4641" " mirror ball looks borax kid"
"content4642" " fact follow pk makes punch face"
"content4643" " long "
"content4644" " sylvester dont song go away stop moan people dig ve commented ten times moaning fucking life"
"content4645" " listen headphones nn welcome"
"content4646" " vaya tela pero si estos yo en los ochenta estaban en el colegio se viene refrito"
"content4647" " video clip shit song good though"
"content4648" " sarah minimal work new album solo album tour s still playing now"
"content4649" " entre la nuit la nuit et laurore"
"content4650" " miss layka times tunnels cars go back seat funeral neon bible arcade fire rest trade "
"content4651" " holy shit heard tune radio driving freeway tonight flashback oldie disco days oh much sweeter driving mph"
"content4652" " question pitchfork give nines"
"content4653" " love look big heads nso reflektor david bowie "
"content4654" " musiciansnnthey real artists"
"content4655" " used hate band song changed p"
"content4656" " s sarah"
"content4657" " song short longer"
"content4658" " prediction album album year better "
"content4659" " new arcade different always brilliant often"
"content4660" " well wy dont lisen bowies outside came ot somewhere around amazing music hell concept album tell us bowie notmaking good music anymore btw cd new day probably think otherwise"
"content4661" " cant wait longer… days"
"content4662" " wow epic"
"content4663" " lcd soundsystem"
"content4664" " album gets pitchfork m going legally name newborn daughter reflektor"
"content4665" " f great soong love part french"
"content4666" " s best songs ve heard decade"
"content4667" " magnifique j adore"
"content4668" " everyone surely know now s bowie backing vocals great songnnif check lucid rivers"
"content4669" " great song great band love hate still came watch type comment long live arcade fire"
"content4670" " end authority music eh"
"content4671" " awesome song"
"content4672" " scares "
"content4673" " spoiled us "
"content4674" " good track"
"content4675" " responding sarcastic blancorobbo difficult inflect sarcastic tone text done better job love arcade fire song"
"content4676" " whoa whoa sarcastic response previous comment yeah thought definition pretentious assbag statement whole oh ve sold argument total bullshit always incredible music opinion buddy mine "
"content4677" " lil brothers birthday "
"content4678" " shut fuck enjoy song dont know ve noticed music garbage happy arcade fire around"
"content4679" " trying sing along french bit oon tran lan ne va far je mappelle alex da da da dee thank gcse french"
"content4680" " u mad bro"
"content4681" " wicked track"
"content4682" " masterpiece"
"content4683" " lol yea james murphy playing arcade fire james murphy song arcade murphy"
"content4684" " reminds thought praying resurrector turns well know rest"
"content4685" " bollocks"
"content4686" " yes david bowie bet bowie feels arcade fire song lets dance keep good work guys love pet shop boys song"
"content4687" " suburbs amazing amazing expectations thank making life enjoyable"
"content4688" " fucking awesome track"
"content4689" " ok lucius von waldenberg idea s talking morrison dali narrow rock taste know re talking tell much listen rock music prove morrison prove years studied music quite pretentious statement statement based fact moved dance sound stated wait opinion"
"content4690" " song cooler called twilight zone golden earring video cooler "
"content4691" " james murphy produced james murphyiest song "
"content4692" " morrison dali well im sorry dont think pretentious know taste subjective happl shouldnt allowed comment art lack funny much lack understanding perspectives u dug hole "
"content4693" " love songnnbut cant help feelingunsettled"
"content4694" " whelp guess whos phone going class minutes monday"
"content4695" " people becomes long ot great end piano bongos arragements isa great song much hate"
"content4696" " geniuses"
"content4697" " loool wow hipster gay"
"content4698" " lot doubt s s unsurpassed rock"
"content4699" " opinion holds lot weight tell truly understand art"
"content4700" " crazy video dutch guy "
"content4701" " comment section lacking crazy interpretations video"
"content4702" " def gay hipster shit best real artsy groovy d bags"
"content4703" " doubt s t best decade music care afs take song runs minutes long dont mind long songs repeats lot last minutes without bringing anything new s worth nothing add s end song speaking record runs little long mins sorry fillers abound"
"content4704" " m "
"content4705" " re dumb understand "
"content4706" " retarded"
"content4707" " m hooked song… retarded love "
"content4708" " best song "
"content4709" " hope album good funeral"
"content4710" " oh done guys elements feel lost avantgarde angle felt guys pioneers gonna dislike"
"content4711" " c vraiment très bon"
"content4712" " wooooo"
"content4713" " hear arcade fire perform reflektor live day releasenmon october th pm est pm ptnhear exclusive special event non npr music local public radio stations website"
"content4714" " wins mask look lot jimmy carternbtw love song af great art rock cold digital age"
"content4715" " saying album rather saying s total mess tell us wrong albums truly love needed multiple listenings miles davis armstrong ella beatles genesis u simple minds pearl jam deeply understood deeply appreciated bunch audtions evaluate music carbonicoyster"
"content4716" " haha wtf wrong song glorious finest"
"content4717" " haters gonna hate arcade fire blowing damn mind right now yes david effing bowie backup vocals"
"content4718" " totalmente hermoso veo la hora de escuchar el álbum completo"
"content4719" " song ok guess kind toothless"
"content4720" " s bad enough first round"
"content4721" " video weird"
"content4722" " s right album total mess forget album savour memory instead"
"content4723" " heard song snl loved "
"content4724" " s fair kind arcade fire sound everyone dance music "
"content4725" " hear echos talking heads song mean compliment three cheers funky angst"
"content4726" " m pretentious claim know better taste "
"content4727" " god love regine especially wrong"
"content4728" " re wondering country re re actually canadian "
"content4729" " thank arcade fire awesome music"
"content4730" " love tune funky melodic "
"content4731" " anything people anything doesnt album something insulted disappointed anything ewwww"
"content4732" " awesome thank "
"content4733" " yes david bowie song another thing makes awesome song somehow magical "
"content4734" " much song"
"content4735" " probably times "
"content4736" " love beginning reflects tunnels probably greatest canadian band things said done"
"content4737" " love except gay fell love shit"
"content4738" " chingonsisima rolaaaaaa"
"content4739" " bowie makes appearance song actually p"
"content4740" " germany franch"
"content4741" " believe dude knowing thingy"
"content4742" " song reminds bowie song love "
"content4743" " lifetime"
"content4744" " doubt lucky song dont believe repeat masterpiece "
"content4745" " guys awesome reflektors colbert haha tricked shit outta till called arcade fire pretentious"
"content4746" " dear mfleighnyou obviously know « reflektor» tag re talking done using chalk water paint except win butler handwrote apology owner building tagged wrong paint"
"content4747" " attaboy diego showing narrowness mind got « balls» got "
"content4748" " dont seem types petty concerns fame"
"content4749" " million "
"content4750" " freaking love love love love regine speaks french god"
"content4751" " much excitement david bowie real part song usual"
"content4752" " anyone noticed members arcade fire faces literally covered uh oh smell revolt coming"
"content4753" " love david bowie yeap great song great band great future "
"content4754" " love song"
"content4755" " decorum reading comprehension"
"content4756" " million views short song"
"content4757" " sarah neufeld dressed fvcking outfit masks "
"content4758" " think homosexual tendeciesdiego"
"content4759" " love cigarettes"
"content4760" " songs trippy feel cool bob head drive p"
"content4761" " c hughes haa s s pretty laughable agree blancorobbo good clear logical points music differences wether agree argument cant attempt funny childish commentcause u aint got sht hipster tho ive musician years types music including metal"
"content4762" " loss lol"
"content4763" " rare song first listen blow mind sonically blow intellectual listen song much lines impression fell love alone stage reflective age simple rhyme cuts core meaning song absolutely brilliant track"
"content4764" " yeahgrowingchanging exploring good fine change dosent mean working maybe change good nothing close earlier albums"
"content4765" " thinks disco reflektor supposed michael jackson looks famous profile beat definitely thriller esque"
"content4766" " true hipster anything disappointed "
"content4767" " regine chassagne surely big bush cause bowie loves big bushes never associatewith"
"content4768" " ve big fan arcade fire album huge disappointment prefer organic raw original sound arcade fire seems jumped dance music hipster bandwagon disappointed"
"content4769" " think might trying communicate"
"content4770" " new álbum cant gò back isnt récipe"
"content4771" " couldnt masks creepier tried "
"content4772" " hate album old songs wer better im sorry"
"content4773" " jeez sour puss signature sound wtf dont think bands tired playing thing style signature sound d prefer arcade fire simply regurgitate sounding material becomes stale old cheeto quit moaning move narcade fire believe "
"content4774" " longest ve hated arcade fire burning passion stupid pointless hatred think got sick much praise getting song jesus christ destroyed pointless hatred arcade fire biggest haters t "
"content4775" " david bowe back vocals sign ve "
"content4776" " thing"
"content4777" " seems everytime m half asleep band comes jay leno snl sticks head nnbad azz song "
